Date,Score,Server,Agent,Map,Blockade
2018/09/22_23:57, 5.978186411962808, git/rcrs-server, git/rcrs-adf-sample, maps/gml/test, yes
2018/09/22_23:58, 5.978186411962808, git/rcrs-server, git/rcrs-adf-sample, maps/gml/test, no
2018/09/23_00:02, 5.978186411962808, git/rcrs-server, git/rcrs-adf-sample, maps/gml/test, yes
2018/09/23_09:41, 5.981508295398198, Desktop/rcrs-server-master, git/rcrs-adf-sample, maps/gml/test/, yes
2018/09/23_09:45, 200.96802087198364, git/rcrs-server, git/rcrs-adf-sample, maps/gml/kobe, no
2018/09/23_09:58, 5.978186411962808, git/rcrs-server, git/rcrs-adf-sample, maps/gml/test, yes
2018/09/23_10:04, 5.978186411962808, git/rcrs-server, git/rcrs-adf-sample, maps/gml/test, yes
2018/09/23_10:04, 5.981508295398198, git/roborescue-v1.2, git/rcrs-adf-sample, maps/gml/test/, no
2018/09/23_10:06, 5.978186411962808, git/rcrs-server, git/rcrs-adf-sample, maps/gml/test, yes
2018/09/23_10:11, 0.0, git/rcrs-server, git/rcrs-adf-sample, maps/gml/test, yes
